governance_item_id,rule_id,rule_name,business_name,description,severity,status,data_region_path,source_table,source_field,source_record_id,key_value,invalid_value,expected_condition,actual_condition,message,run_id,run_timestamp,company_code,agent_number,agent_name,policy_number,duplicate_count,original_policy_number,normalized_policy_number,policy_number_length,min_permitted_length,max_permitted_length,company_code_source_field,account_number_source_field,original_company_code,normalized_company_code,original_account_number,normalized_account_number,composite_business_key,reference_table,reference_field,reference_match_count,group_number,original_group_number,normalized_group_number,original_billing_name,normalized_billing_name,original_value,normalized_value,expected_value,governance_run_date,controlling_date,expected_prior_month_end,failure_category,plan,mortality_table,eti_mortality_table,gender,underwriting_class,band,issue_state,effective_date,min_allowed_date,max_allowed_date
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1765,A23A45,,A Annuity Information Setup record,Missing,Annuity plan A23A45 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A45,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1766,A23A49,,A Annuity Information Setup record,Missing,Annuity plan A23A49 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A49,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1767,A23A52,,A Annuity Information Setup record,Missing,Annuity plan A23A52 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A52,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1768,A23A55,,A Annuity Information Setup record,Missing,Annuity plan A23A55 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A55,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1769,A23A59,,A Annuity Information Setup record,Missing,Annuity plan A23A59 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A59,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1770,A23A62,,A Annuity Information Setup record,Missing,Annuity plan A23A62 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A62,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1771,A23A65,,A Annuity Information Setup record,Missing,Annuity plan A23A65 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A65,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1772,A23A69,,A Annuity Information Setup record,Missing,Annuity plan A23A69 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23A69,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1773,A23F42,,A Annuity Information Setup record,Missing,Annuity plan A23F42 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23F42,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,1774,A23F45,,A Annuity Information Setup record,Missing,Annuity plan A23F45 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A23F45,,,,,,,,,
