governance_item_id,rule_id,rule_name,business_name,description,severity,status,data_region_path,source_table,source_field,source_record_id,key_value,invalid_value,expected_condition,actual_condition,message,run_id,run_timestamp,company_code,agent_number,agent_name,policy_number,duplicate_count,original_policy_number,normalized_policy_number,policy_number_length,min_permitted_length,max_permitted_length,company_code_source_field,account_number_source_field,original_company_code,normalized_company_code,original_account_number,normalized_account_number,composite_business_key,reference_table,reference_field,reference_match_count,group_number,original_group_number,normalized_group_number,original_billing_name,normalized_billing_name,original_value,normalized_value,expected_value,governance_run_date,controlling_date,expected_prior_month_end,failure_category,plan,mortality_table,eti_mortality_table,gender,underwriting_class,band,issue_state,effective_date,min_allowed_date,max_allowed_date
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,193,578STR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '578STR' contains a blank ETI mortality table.,QuikPlCv plan '578STR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,578STR,,,F,SM,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,194,5CDT10,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '5CDT10' contains a blank ETI mortality table.,QuikPlCv plan '5CDT10' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,5CDT10,,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,195,5L0110,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '5L0110' contains a blank ETI mortality table.,QuikPlCv plan '5L0110' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,5L0110,A1,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,196,5L01MA,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '5L01MA' contains a blank ETI mortality table.,QuikPlCv plan '5L01MA' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,5L01MA,A1,,M,SM,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,197,5L0510,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '5L0510' contains a blank ETI mortality table.,QuikPlCv plan '5L0510' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,5L0510,A1,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,198,5L075Y,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '5L075Y' contains a blank ETI mortality table.,QuikPlCv plan '5L075Y' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,5L075Y,A1,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,199,719CTR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '719CTR' contains a blank ETI mortality table.,QuikPlCv plan '719CTR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,719CTR,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,200,719SDT,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '719SDT' contains a blank ETI mortality table.,QuikPlCv plan '719SDT' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,719SDT,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,201,7619DT,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '7619DT' contains a blank ETI mortality table.,QuikPlCv plan '7619DT' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,7619DT,A1,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,202,7619PU,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '7619PU' contains a blank ETI mortality table.,QuikPlCv plan '7619PU' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,7619PU,,,M,00,00,00,,,
